2020-02-03 17:06:44.399 INFO {run} [<module>] 2020-02-03 17:06
2020-02-03 17:06:44.400 DEBUG {modification_handler} [__init__] ModificationHandler()
2020-02-03 17:06:44.400 DEBUG {query_handler} [__init__] QueryHandler()
2020-02-03 17:06:44.400 DEBUG {subscription_server} [__init__] SubscriptionServer(ws_ip='0.0.0.0',ws_port=11111)
2020-02-03 17:06:44.402 DEBUG {testcube_usb_controller} [__init__] TescubeUSB()
2020-02-03 17:06:51.458 DEBUG {testcube_usb_controller} [usbrxhandler] TescubeUSB.usbrxhandler
2020-02-03 17:06:51.935 DEBUG {subscription_server} [publish] SubscriptionServer.publish: [{'path': '/adcInputController/adcInputs', 'value': [{'measuredVoltage': 47}, {}, {'measuredVoltage': 34}, {}, {}, {}, {}, {}]}]
2020-02-03 17:06:51.979 DEBUG {query_handler} [handle_updates] QueryHandler.handle_updates: [{'path': '/adcInputController/adcInputs', 'data': [{}, {}, {}, {'measuredVoltage': 43}, {'measuredVoltage': 6713}, {'measuredVoltage': 32}, {}, {}]}]
2020-02-03 17:06:51.981 DEBUG {subscription_server} [publish] SubscriptionServer.publish: [{'path': '/adcInputController/adcInputs', 'value': [{}, {}, {}, {'measuredVoltage': 43}, {'measuredVoltage': 6713}, {'measuredVoltage': 32}, {}, {}]}]
2020-02-03 17:06:51.983 DEBUG {query_handler} [handle_updates] QueryHandler.handle_updates: [{'path': '/adcInputController/adcInputs', 'data': [{'measuredVoltage': 47}, {}, {'measuredVoltage': 34}, {}, {}, {}, {}, {}]}]
2020-02-03 17:06:51.985 DEBUG {subscription_server} [publish] SubscriptionServer.publish: [{'path': '/adcInputController/adcInputs', 'value': [{'measuredVoltage': 47}, {}, {'measuredVoltage': 34}, {}, {}, {}, {}, {}]}]
2020-02-03 17:06:52.029 DEBUG {query_handler} [handle_updates] QueryHandler.handle_updates: [{'path': '/adcInputController/adcInputs', 'data': [{}, {}, {}, {'measuredVoltage': 42}, {'measuredVoltage': 6713}, {'measuredVoltage': 32}, {}, {}]}]
2020-02-03 17:06:52.031 DEBUG {subscription_server} [publish] SubscriptionServer.publish: [{'path': '/adcInputController/adcInputs', 'value': [{}, {}, {}, {'measuredVoltage': 42}, {'measuredVoltage': 6713}, {'measuredVoltage': 32}, {}, {}]}]
2020-02-03 17:06:52.034 DEBUG {query_handler} [handle_updates] QueryHandler.handle_updates: [{'path': '/adcInputController/adcInputs', 'data': [{'measuredVoltage': 48}, {}, {'measuredVoltage': 35}, {}, {}, {}, {}, {}]}]
2020-02-03 17:06:52.036 DEBUG {subscription_server} [publish] SubscriptionServer.publish: [{'path': '/adcInputController/adcInputs', 'value': [{'measuredVoltage': 48}, {}, {'measuredVoltage': 35}, {}, {}, {}, {}, {}]}]
2020-02-03 17:06:52.078 DEBUG {query_handler} [handle_updates] QueryHandler.handle_updates: [{'path': '/adcInputController/adcInputs', 'data': [{}, {}, {}, {'measuredVoltage': 42}, {'measuredVoltage': 6713}, {'measuredVoltage': 32}, {}, {}]}]
2020-02-03 17:06:52.080 DEBUG {subscription_server} [publish] SubscriptionServer.publish: [{'path': '/adcInputController/adcInputs', 'value': [{}, {}, {}, {'measuredVoltage': 42}, {'measuredVoltage': 6713}, {'measuredVoltage': 32}, {}, {}]}]
2020-02-03 17:06:52.083 DEBUG {query_handler} [handle_updates] QueryHandler.handle_updates: [{'path': '/adcInputController/adcInputs', 'data': [{'measuredVoltage': 48}, {}, {'measuredVoltage': 35}, {}, {}, {}, {}, {}]}]
2020-02-03 17:06:52.085 DEBUG {subscription_server} [publish] SubscriptionServer.publish: [{'path': '/adcInputController/adcInputs', 'value': [{'measuredVoltage': 48}, {}, {'measuredVoltage': 35}, {}, {}, {}, {}, {}]}]
2020-02-03 17:06:52.128 DEBUG {query_handler} [handle_updates] QueryHandler.handle_updates: [{'path': '/adcInputController/adcInputs', 'data': [{}, {}, {}, {'measuredVoltage': 42}, {'measuredVoltage': 6713}, {'measuredVoltage': 32}, {}, {}]}]
2020-02-03 17:06:52.130 DEBUG {subscription_server} [publish] SubscriptionServer.publish: [{'path': '/adcInputController/adcInputs', 'value': [{}, {}, {}, {'measuredVoltage': 42}, {'measuredVoltage': 6713}, {'measuredVoltage': 32}, {}, {}]}]
2020-02-03 17:06:52.133 DEBUG {query_handler} [handle_updates] QueryHandler.handle_updates: [{'path': '/adcInputController/adcInputs', 'data': [{'measuredVoltage': 48}, {}, {'measuredVoltage': 37}, {}, {}, {}, {}, {}]}]
2020-02-03 17:06:52.136 DEBUG {subscription_server} [publish] SubscriptionServer.publish: [{'path': '/adcInputController/adcInputs', 'value': [{'measuredVoltage': 48}, {}, {'measuredVoltage': 37}, {}, {}, {}, {}, {}]}]
2020-02-03 17:06:52.178 DEBUG {query_handler} [handle_updates] QueryHandler.handle_updates: [{'path': '/adcInputController/adcInputs', 'data': [{}, {}, {}, {'measuredVoltage': 43}, {'measuredVoltage': 6713}, {'measuredVoltage': 33}, {}, {}]}]
2020-02-03 17:06:52.180 DEBUG {subscription_server} [publish] SubscriptionServer.publish: [{'path': '/adcInputController/adcInputs', 'value': [{}, {}, {}, {'measuredVoltage': 43}, {'measuredVoltage': 6713}, {'measuredVoltage': 33}, {}, {}]}]
2020-02-03 17:06:52.182 DEBUG {query_handler} [handle_updates] QueryHandler.handle_updates: [{'path': '/adcInputController/adcInputs', 'data': [{'measuredVoltage': 47}, {}, {'measuredVoltage': 37}, {}, {}, {}, {}, {}]}]
2020-02-03 17:06:52.184 DEBUG {subscription_server} [publish] SubscriptionServer.publish: [{'path': '/adcInputController/adcInputs', 'value': [{'measuredVoltage': 47}, {}, {'measuredVoltage': 37}, {}, {}, {}, {}, {}]}]
2020-02-03 17:06:52.228 DEBUG {query_handler} [handle_updates] QueryHandler.handle_updates: [{'path': '/adcInputController/adcInputs', 'data': [{}, {}, {}, {'measuredVoltage': 43}, {'measuredVoltage': 6713}, {'measuredVoltage': 33}, {}, {}]}]
2020-02-03 17:06:52.231 DEBUG {subscription_server} [publish] SubscriptionServer.publish: [{'path': '/adcInputController/adcInputs', 'value': [{}, {}, {}, {'measuredVoltage': 43}, {'measuredVoltage': 6713}, {'measuredVoltage': 33}, {}, {}]}]
2020-02-03 17:06:52.232 DEBUG {query_handler} [handle_updates] QueryHandler.handle_updates: [{'path': '/adcInputController/adcInputs', 'data': [{'measuredVoltage': 48}, {}, {'measuredVoltage': 36}, {}, {}, {}, {}, {}]}]
2020-02-03 17:06:52.234 DEBUG {subscription_server} [publish] SubscriptionServer.publish: [{'path': '/adcInputController/adcInputs', 'value': [{'measuredVoltage': 48}, {}, {'measuredVoltage': 36}, {}, {}, {}, {}, {}]}]
2020-02-03 17:06:52.278 DEBUG {query_handler} [handle_updates] QueryHandler.handle_updates: [{'path': '/adcInputController/adcInputs', 'data': [{}, {}, {}, {'measuredVoltage': 43}, {'measuredVoltage': 6713}, {'measuredVoltage': 33}, {}, {}]}]
2020-02-03 17:06:52.281 DEBUG {subscription_server} [publish] SubscriptionServer.publish: [{'path': '/adcInputController/adcInputs', 'value': [{}, {}, {}, {'measuredVoltage': 43}, {'measuredVoltage': 6713}, {'measuredVoltage': 33}, {}, {}]}]
2020-02-03 17:06:52.283 DEBUG {query_handler} [handle_updates] QueryHandler.handle_updates: [{'path': '/adcInputController/adcInputs', 'data': [{'measuredVoltage': 46}, {}, {'measuredVoltage': 36}, {}, {}, {}, {}, {}]}]
2020-02-03 17:06:52.285 DEBUG {subscription_server} [publish] SubscriptionServer.publish: [{'path': '/adcInputController/adcInputs', 'value': [{'measuredVoltage': 46}, {}, {'measuredVoltage': 36}, {}, {}, {}, {}, {}]}]
2020-02-03 17:06:52.328 DEBUG {query_handler} [handle_updates] QueryHandler.handle_updates: [{'path': '/adcInputController/adcInputs', 'data': [{}, {}, {}, {'measuredVoltage': 43}, {'measuredVoltage': 6713}, {'measuredVoltage': 33}, {}, {}]}]
2020-02-03 17:06:52.333 DEBUG {subscription_server} [publish] SubscriptionServer.publish: [{'path': '/adcInputController/adcInputs', 'value': [{}, {}, {}, {'measuredVoltage': 43}, {'measuredVoltage': 6713}, {'measuredVoltage': 33}, {}, {}]}]
2020-02-03 17:06:52.335 DEBUG {query_handler} [handle_updates] QueryHandler.handle_updates: [{'path': '/adcInputController/adcInputs', 'data': [{'measuredVoltage': 47}, {}, {'measuredVoltage': 36}, {}, {}, {}, {}, {}]}]
2020-02-03 17:06:52.339 DEBUG {subscription_server} [publish] SubscriptionServer.publish: [{'path': '/adcInputController/adcInputs', 'value': [{'measuredVoltage': 47}, {}, {'measuredVoltage': 36}, {}, {}, {}, {}, {}]}]
2020-02-03 17:06:52.378 DEBUG {query_handler} [handle_updates] QueryHandler.handle_updates: [{'path': '/adcInputController/adcInputs', 'data': [{}, {}, {}, {'measuredVoltage': 42}, {'measuredVoltage': 6713}, {'measuredVoltage': 32}, {}, {}]}]
2020-02-03 17:06:52.381 DEBUG {subscription_server} [publish] SubscriptionServer.publish: [{'path': '/adcInputController/adcInputs', 'value': [{}, {}, {}, {'measuredVoltage': 42}, {'measuredVoltage': 6713}, {'measuredVoltage': 32}, {}, {}]}]
2020-02-03 17:06:52.384 DEBUG {query_handler} [handle_updates] QueryHandler.handle_updates: [{'path': '/adcInputController/adcInputs', 'data': [{'measuredVoltage': 48}, {}, {'measuredVoltage': 35}, {}, {}, {}, {}, {}]}]
2020-02-03 17:06:52.386 DEBUG {subscription_server} [publish] SubscriptionServer.publish: [{'path': '/adcInputController/adcInputs', 'value': [{'measuredVoltage': 48}, {}, {'measuredVoltage': 35}, {}, {}, {}, {}, {}]}]
2020-02-03 17:06:52.428 DEBUG {query_handler} [handle_updates] QueryHandler.handle_updates: [{'path': '/adcInputController/adcInputs', 'data': [{}, {}, {}, {'measuredVoltage': 42}, {'measuredVoltage': 6713}, {'measuredVoltage': 32}, {}, {}]}]
2020-02-03 17:06:52.431 DEBUG {subscription_server} [publish] SubscriptionServer.publish: [{'path': '/adcInputController/adcInputs', 'value': [{}, {}, {}, {'measuredVoltage': 42}, {'measuredVoltage': 6713}, {'measuredVoltage': 32}, {}, {}]}]
2020-02-03 17:06:52.433 DEBUG {query_handler} [handle_updates] QueryHandler.handle_updates: [{'path': '/adcInputController/adcInputs', 'data': [{'measuredVoltage': 47}, {}, {'measuredVoltage': 35}, {}, {}, {}, {}, {}]}]
2020-02-03 17:06:52.435 DEBUG {subscription_server} [publish] SubscriptionServer.publish: [{'path': '/adcInputController/adcInputs', 'value': [{'measuredVoltage': 47}, {}, {'measuredVoltage': 35}, {}, {}, {}, {}, {}]}]
2020-02-03 17:06:52.478 DEBUG {query_handler} [handle_updates] QueryHandler.handle_updates: [{'path': '/adcInputController/adcInputs', 'data': [{}, {}, {}, {'measuredVoltage': 42}, {'measuredVoltage': 6713}, {'measuredVoltage': 31}, {}, {}]}]
